,content,date,id
0,@富国基金,20210110,16164319
1,从我自己个人的喜好来看，我对董承非和朱少醒这两位副总经理级别的老基金经理不是很感冒，因为兴全还有特别符合我口味的谢治宇，所以我换掉了董承非（他的持仓其实跟周蔚文也有部分重合，所以留一个也行），而朱少醒太过于传奇，如果一个号称老司基的组合没有富国天惠，总感觉怪怪的（但我绝对不是从众）,20210110,16164659
2,表现好的易方达蓝筹精选和景顺长城绩优成长我就不多了，说说近期表现不是那么好的富国天惠和中欧价值发现，解答一下大家的疑惑,20210110,16164659
3,富国天惠是一个翻十倍的神基，这几年其实有点受质疑，有人说朱少醒老了，近五年富国天惠表现都略显平庸，而且朱少醒不会刻意控制回撤——都说老基金经理都做价值投资，但朱少醒是成长风格一路到底,20210110,16164659
4,我选择富国天惠其实恰恰是看中了朱少醒全市场选成长股的能力，一旦全市场风险偏好大幅提升，成长股风口到来，朱少醒的进攻性很强,20210110,16164659
5,你没听过张啸伟其实不奇怪，因为富国基金自己都不怎么关注他，而是更喜欢李元博这种成长之星，这跟富国基金一直以来的成长基因有关,20210110,16164659
6,但富国基金毕竟还是大厂，成长做得好，不意味着价值风格做的差，看看张啸伟18年的战绩：,20210110,16164659
7,朱少醒自2005年11月份开始任职富国天惠成长混合A的基金经理，在其任职期间，该产品净值增长率为1705.09%，年化回报率达到23-25%,20210110,16165985
8,从业14年+以来，朱少醒从未跳槽，任职的基金公司仅富国基金一家,20210110,16165985
9,富国基金,20210110,16165985
10,"#FF0C00;"">富国中证10年期国债ETF，</span></strong>是一只跟踪10年期国债指数的ETF基金",20210110,16166403
11,1月4日，景顺长城、广发、中欧、富国旗下四只基金同时出现“一日售罄”，成为市场难得一见的盛况,20210110,16166574
12,看这些基金的净值，为了方便对比，取小数点1位，分别为：华夏能源革新3.0、招商白酒1.5、天弘中证食品饮料3.7、鹏华酒1.1、诺安成长混合1.8、易方达蓝筹精选3.0、易方达消费5.5、富国中证煤炭1.0、银河创新成长6.1、景顺长城新兴成长3.4、易方达中小盘9.7、易方达医疗保健3.9,20210110,16166587
13,2、汇添富创新医药混合；富国中证新能源汽车指数分级；富国中证消费50ETF,20210110,16166770
14,1、富国中证消费50EtF;易方达安心回报债券B；天弘中证500指数增强A,20210110,16166770
15,3、景顺长城新兴成长混合；嘉实泰和混合；易方达中概互联；富国中证军工指数,20210110,16166770
16,5、富国天惠成长混合：朱少醒、白酒+各大板块龙头,20210110,16166770
17,欢迎关注公众号‘望江虎’，获取白银基金(161226)、兴全合宜(163417)、中国互联(164906)、兴全模式（163415）、兴全趋势（163402）、景顺鼎益（162605）、富国天惠（161005）、161903（万家优选）准实时净值数据（查询时间段为周一至周五,20210110,16167855
18,基金名称：富国价值创造A,20210110,16168114
19,2、富国沪港深行业精选：混合型基金,20210110,16168438
20,交银沪港深价值精选和富国沪港深行业精选紧随其后，都取得了70%上下的业绩,20210110,16168438
21,富国沪港深行业精选2018年跌的最少，得益于基金经理在2018年较低的股票仓位,20210110,16168438
22,可以看到，交银沪港深价值精选、富国沪港深行业精选以及国富沪港深成长精选的夏普比率、阿尔法和贝塔指标都比较优秀，做到了高的超额收益和较低的波动，这样的基金持有起来会很舒服,20210110,16168438
23,富国沪港深行业精选A会做一定的仓位控制，不过整体港股的仓位比重大,20210110,16168438
24,整体看，富国沪港深行业精选在熊市跌幅少，反弹行情跟得上，属于攻守兼备,20210110,16168438
25,目前富国沪港深行业精选和泰康沪港深精选、广发沪港深新起点A一样，港股仓位较高，如果比较看好后市港股指数级别的牛市表现，可以考虑这几个港股仓位较高的基金,20210110,16168438
26,@富国基金,20210110,16168438
